,Class,F1 score,Accuracy,Precision,Recall,Specificity
381,"spider monkey, Ateles geoffroyi",0.48717952,0.38,0.6785714,0.38,0.9998198
382,"squirrel monkey, Saimiri sciureus",0.64220184,0.7,0.59322035,0.7,0.9995195
383,"Madagascar cat, ring-tailed lemur, Lemur catta",0.8,0.72,0.9,0.72,0.9999199
384,"indri, indris, Indri indri, Indri brevicaudatus",0.8070175,0.92,0.71875,0.92,0.99963963
385,"Indian elephant, Elephas maximus",0.55102044,0.54,0.5625,0.54,0.9995796
386,"African elephant, Loxodonta africana",0.60240966,0.5,0.75757575,0.5,0.99983984
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",0.94,0.94,0.94,0.94,0.9999399
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",0.9292929,0.92,0.93877554,0.92,0.9999399
389,"barracouta, snoek",0.82,0.82,0.82,0.82,0.9998198
390,eel,0.75862074,0.66,0.8918919,0.66,0.9999199
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.8297872,0.78,0.8863636,0.78,0.9998999
392,"rock beauty, Holocanthus tricolor",0.95049506,0.96,0.9411765,0.96,0.9999399
393,anemone fish,0.8958333,0.86,0.9347826,0.86,0.9999399
394,sturgeon,0.74,0.74,0.74,0.74,0.99973977
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.6464646,0.64,0.6530612,0.64,0.99965966
396,lionfish,0.9306931,0.94,0.92156863,0.94,0.9999199
397,"puffer, pufferfish, blowfish, globefish",0.88,0.88,0.88,0.88,0.9998799
398,abacus,0.8333334,0.8,0.8695652,0.8,0.9998799
399,abaya,0.80373836,0.86,0.75438595,0.86,0.99971974
400,"academic gown, academic robe, judge's robe",0.54545456,0.6,0.5,0.6,0.9993994
401,"accordion, piano accordion, squeeze box",0.8484848,0.84,0.85714287,0.84,0.99985987
402,acoustic guitar,0.5977011,0.52,0.7027027,0.52,0.99977976
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",0.8431373,0.86,0.8269231,0.86,0.9998198
404,airliner,0.8468469,0.94,0.7704918,0.94,0.99971974
405,"airship, dirigible",0.8453609,0.82,0.87234044,0.82,0.9998799
406,altar,0.6785714,0.76,0.61290324,0.76,0.9995195
407,ambulance,0.8135593,0.96,0.7058824,0.96,0.9995996
408,"amphibian, amphibious vehicle",0.7422681,0.72,0.7659575,0.72,0.99977976
409,analog clock,0.60550463,0.66,0.55932206,0.66,0.9994795
410,"apiary, bee house",0.80373836,0.86,0.75438595,0.86,0.99971974
411,apron,0.70454544,0.62,0.81578946,0.62,0.99985987
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.5,0.46,0.54761904,0.46,0.9996196
413,"assault rifle, assault gun",0.5416667,0.52,0.5652174,0.52,0.9995996
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",0.5121951,0.42,0.65625,0.42,0.99977976
415,"bakery, bakeshop, bakehouse",0.32258064,0.3,0.3488372,0.3,0.9994394
416,"balance beam, beam",0.77966106,0.92,0.6764706,0.92,0.9995596
417,balloon,0.8440367,0.92,0.779661,0.92,0.99973977
418,"ballpoint, ballpoint pen, ballpen, Biro",0.64077675,0.66,0.6226415,0.66,0.9995996
419,Band Aid,0.6938775,0.68,0.7083333,0.68,0.99971974
420,banjo,0.8514852,0.86,0.84313726,0.86,0.99983984
421,"bannister, banister, balustrade, balusters, handrail",0.6666666,0.78,0.58208954,0.78,0.9994394
422,barbell,0.6530613,0.64,0.6666667,0.64,0.9996797
423,barber chair,0.77477473,0.86,0.704918,0.86,0.99963963
424,barbershop,0.44705883,0.38,0.54285717,0.38,0.9996797
425,barn,0.9411765,0.96,0.9230769,0.96,0.9999199
426,barometer,0.8627451,0.88,0.84615386,0.88,0.99983984
427,"barrel, cask",0.7157895,0.68,0.75555557,0.68,0.99977976
428,"barrow, garden cart, lawn cart, wheelbarrow",0.776699,0.8,0.754717,0.8,0.99973977
429,baseball,0.82474226,0.8,0.85106385,0.8,0.99985987
430,basketball,0.9583333,0.92,1.0,0.92,1.0
431,bassinet,0.6956522,0.8,0.61538464,0.8,0.9994995
432,bassoon,0.81553394,0.84,0.7924528,0.84,0.99977976
433,"bathing cap, swimming cap",0.65217394,0.6,0.71428573,0.6,0.99975973
434,bath towel,0.6976744,0.6,0.8333333,0.6,0.9998799
435,"bathtub, bathing tub, bath, tub",0.44247785,0.5,0.3968254,0.5,0.99923927
